x,y,response,size,octave
308.00,356.00,7.000000,31.000,0
312.00,349.00,13.000000,31.000,0
308.00,349.00,14.000000,31.000,0
316.00,29.00,55.000000,31.000,0
303.00,32.00,22.000000,31.000,0
309.00,23.00,30.000000,31.000,0
300.00,24.00,62.000000,31.000,0
319.00,75.00,90.000000,31.000,0
323.00,67.00,43.000000,31.000,0
464.00,144.00,50.000000,31.000,0
451.00,136.00,73.000000,31.000,0
461.00,125.00,40.000000,31.000,0
501.00,79.00,68.000000,31.000,0
496.00,79.00,136.000000,31.000,0
653.00,288.00,12.000000,31.000,0
642.00,290.00,14.000000,31.000,0
639.00,278.00,10.000000,31.000,0
687.00,160.00,84.000000,31.000,0
680.00,160.00,99.000000,31.000,0
680.00,151.00,33.000000,31.000,0
1159.00,356.00,14.000000,31.000,0
1163.00,344.00,15.000000,31.000,0
1157.00,342.00,8.000000,31.000,0
57.00,328.00,11.000000,31.000,0
65.00,327.00,19.000000,31.000,0
55.00,319.00,16.000000,31.000,0
129.00,34.00,54.000000,31.000,0
120.00,37.00,60.000000,31.000,0
165.00,36.00,50.000000,31.000,0
157.00,30.00,51.000000,31.000,0
160.00,23.00,20.000000,31.000,0
158.00,352.00,12.000000,31.000,0
158.00,346.00,13.000000,31.000,0
151.00,344.00,10.000000,31.000,0
185.00,328.00,11.000000,31.000,0
173.00,330.00,11.000000,31.000,0
185.00,324.00,9.000000,31.000,0
171.00,326.00,8.000000,31.000,0
199.00,93.00,47.000000,31.000,0
192.00,94.00,70.000000,31.000,0
196.00,89.00,22.000000,31.000,0
191.00,82.00,25.000000,31.000,0
240.00,31.00,37.000000,31.000,0
227.00,27.00,35.000000,31.000,0
226.00,25.00,50.000000,31.000,0
372.00,182.00,150.000000,31.000,0
371.00,167.00,111.000000,31.000,0
363.00,171.00,57.000000,31.000,0
446.00,164.00,34.000000,31.000,0
439.00,162.00,26.000000,31.000,0
445.00,146.00,49.000000,31.000,0
437.00,149.00,35.000000,31.000,0
710.00,352.00,38.000000,31.000,0
703.00,352.00,31.000000,31.000,0
709.00,346.00,20.000000,31.000,0
704.00,347.00,30.000000,31.000,0
845.00,332.00,24.000000,31.000,0
829.00,336.00,24.000000,31.000,0
845.00,320.00,14.000000,31.000,0
830.00,318.00,11.000000,31.000,0
865.00,311.00,10.000000,31.000,0
848.00,309.00,15.000000,31.000,0
857.00,302.00,9.000000,31.000,0
847.00,306.00,10.000000,31.000,0
1016.00,118.00,123.000000,31.000,0
1002.00,122.00,172.000000,31.000,0
1003.00,110.00,174.000000,31.000,0
52.00,271.00,16.000000,31.000,0
39.00,271.00,17.000000,31.000,0
51.00,254.00,16.000000,31.000,0
39.00,261.00,14.000000,31.000,0
88.00,58.00,52.000000,31.000,0
79.00,54.00,60.000000,31.000,0
83.00,46.00,35.000000,31.000,0
79.00,48.00,45.000000,31.000,0
174.00,356.00,10.000000,31.000,0
185.00,339.00,12.000000,31.000,0
174.00,339.00,11.000000,31.000,0
237.00,229.00,25.000000,31.000,0
228.00,227.00,38.000000,31.000,0
240.00,213.00,38.000000,31.000,0
232.00,213.00,28.000000,31.000,0
240.00,73.00,42.000000,31.000,0
231.00,72.00,57.000000,31.000,0
237.00,69.00,109.000000,31.000,0
